Files already downloaded and verified
Files already downloaded and verified
prune rate 0.9 regularization odecay 0.6
train 202 ====> Acc@1 96.644 Acc@5 99.986
valid 202 ====> Acc@1 85.140 Acc@5 99.270
train 203 ====> Acc@1 96.378 Acc@5 99.984
valid 203 ====> Acc@1 84.040 Acc@5 98.870
train 204 ====> Acc@1 96.348 Acc@5 99.982
valid 204 ====> Acc@1 84.830 Acc@5 99.210
train 205 ====> Acc@1 96.786 Acc@5 99.980
valid 205 ====> Acc@1 79.800 Acc@5 98.830
train 206 ====> Acc@1 96.510 Acc@5 99.982
valid 206 ====> Acc@1 85.950 Acc@5 99.310
train 207 ====> Acc@1 96.600 Acc@5 99.994
valid 207 ====> Acc@1 84.430 Acc@5 99.410
train 208 ====> Acc@1 96.802 Acc@5 99.984
valid 208 ====> Acc@1 84.790 Acc@5 99.350
train 209 ====> Acc@1 96.594 Acc@5 99.988
valid 209 ====> Acc@1 84.650 Acc@5 98.870
train 210 ====> Acc@1 96.614 Acc@5 99.984
valid 210 ====> Acc@1 87.200 Acc@5 99.290
train 211 ====> Acc@1 96.416 Acc@5 99.982
valid 211 ====> Acc@1 84.680 Acc@5 99.330
train 212 ====> Acc@1 96.742 Acc@5 99.982
valid 212 ====> Acc@1 86.080 Acc@5 99.430
train 213 ====> Acc@1 96.594 Acc@5 99.982
valid 213 ====> Acc@1 83.520 Acc@5 98.810
train 214 ====> Acc@1 96.596 Acc@5 99.986
valid 214 ====> Acc@1 84.400 Acc@5 99.450
train 215 ====> Acc@1 96.660 Acc@5 99.980
valid 215 ====> Acc@1 86.530 Acc@5 99.540
train 216 ====> Acc@1 96.758 Acc@5 99.994
valid 216 ====> Acc@1 86.350 Acc@5 99.340
train 217 ====> Acc@1 96.502 Acc@5 99.996
valid 217 ====> Acc@1 81.100 Acc@5 99.140
train 218 ====> Acc@1 96.810 Acc@5 99.984
valid 218 ====> Acc@1 83.300 Acc@5 98.290
train 219 ====> Acc@1 96.958 Acc@5 99.990
valid 219 ====> Acc@1 86.720 Acc@5 99.160
train 220 ====> Acc@1 96.210 Acc@5 99.978
valid 220 ====> Acc@1 87.000 Acc@5 99.460
train 221 ====> Acc@1 96.988 Acc@5 99.986
valid 221 ====> Acc@1 84.960 Acc@5 99.420
train 222 ====> Acc@1 96.278 Acc@5 99.980
valid 222 ====> Acc@1 87.040 Acc@5 99.530
train 223 ====> Acc@1 96.526 Acc@5 99.974
valid 223 ====> Acc@1 87.510 Acc@5 99.600
train 224 ====> Acc@1 96.884 Acc@5 99.992
valid 224 ====> Acc@1 85.390 Acc@5 99.110
train 225 ====> Acc@1 96.546 Acc@5 99.978
valid 225 ====> Acc@1 86.180 Acc@5 99.320
train 226 ====> Acc@1 96.658 Acc@5 99.984
valid 226 ====> Acc@1 86.200 Acc@5 99.320
train 227 ====> Acc@1 96.726 Acc@5 99.990
valid 227 ====> Acc@1 86.860 Acc@5 99.210
train 228 ====> Acc@1 96.716 Acc@5 99.994
valid 228 ====> Acc@1 85.580 Acc@5 99.410
train 229 ====> Acc@1 96.702 Acc@5 99.988
valid 229 ====> Acc@1 86.480 Acc@5 99.550
train 230 ====> Acc@1 96.912 Acc@5 99.972
valid 230 ====> Acc@1 82.970 Acc@5 99.170
train 231 ====> Acc@1 96.706 Acc@5 99.986
valid 231 ====> Acc@1 83.400 Acc@5 99.120
train 232 ====> Acc@1 97.052 Acc@5 99.988
valid 232 ====> Acc@1 85.970 Acc@5 99.250
train 233 ====> Acc@1 96.402 Acc@5 99.984
valid 233 ====> Acc@1 85.910 Acc@5 99.490
train 234 ====> Acc@1 96.578 Acc@5 99.980
valid 234 ====> Acc@1 85.330 Acc@5 99.260
train 235 ====> Acc@1 96.702 Acc@5 99.976
valid 235 ====> Acc@1 86.840 Acc@5 99.540
train 236 ====> Acc@1 96.510 Acc@5 99.978
valid 236 ====> Acc@1 85.080 Acc@5 99.380
train 237 ====> Acc@1 97.240 Acc@5 99.988
valid 237 ====> Acc@1 87.620 Acc@5 99.450
train 238 ====> Acc@1 96.706 Acc@5 99.984
valid 238 ====> Acc@1 85.520 Acc@5 99.120
train 239 ====> Acc@1 96.710 Acc@5 99.990
valid 239 ====> Acc@1 83.110 Acc@5 99.240
train 240 ====> Acc@1 96.452 Acc@5 99.978
valid 240 ====> Acc@1 86.010 Acc@5 99.280
train 241 ====> Acc@1 96.432 Acc@5 99.982
