Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 1
valid 69 ====> Acc@1 58.160 Acc@5 94.020
train 70 ====> Acc@1 63.844 Acc@5 96.826
sparsity 70 ====> 52.10% || num_zero/num_total: 445853/855770
valid 70 ====> Acc@1 62.300 Acc@5 96.650
train 71 ====> Acc@1 64.100 Acc@5 96.622
sparsity 71 ====> 52.10% || num_zero/num_total: 445853/855770
valid 71 ====> Acc@1 59.260 Acc@5 95.210
train 72 ====> Acc@1 64.884 Acc@5 96.880
sparsity 72 ====> 52.10% || num_zero/num_total: 445853/855770
valid 72 ====> Acc@1 61.310 Acc@5 96.040
train 73 ====> Acc@1 65.582 Acc@5 96.990
sparsity 73 ====> 52.10% || num_zero/num_total: 445853/855770
valid 73 ====> Acc@1 55.670 Acc@5 95.050
train 74 ====> Acc@1 65.934 Acc@5 96.886
sparsity 74 ====> 52.10% || num_zero/num_total: 445853/855770
valid 74 ====> Acc@1 60.370 Acc@5 95.660
train 75 ====> Acc@1 66.508 Acc@5 97.196
sparsity 75 ====> 52.10% || num_zero/num_total: 445853/855770
valid 75 ====> Acc@1 56.580 Acc@5 94.320
train 76 ====> Acc@1 66.620 Acc@5 97.162
sparsity 76 ====> 52.10% || num_zero/num_total: 445853/855770
valid 76 ====> Acc@1 60.730 Acc@5 96.650
train 77 ====> Acc@1 67.158 Acc@5 97.234
sparsity 77 ====> 52.10% || num_zero/num_total: 445853/855770
valid 77 ====> Acc@1 62.910 Acc@5 96.550
train 78 ====> Acc@1 67.422 Acc@5 97.326
sparsity 78 ====> 52.10% || num_zero/num_total: 445853/855770
valid 78 ====> Acc@1 62.830 Acc@5 96.460
train 79 ====> Acc@1 68.002 Acc@5 97.542
sparsity 79 ====> 52.07% || num_zero/num_total: 445565/855770
valid 79 ====> Acc@1 62.380 Acc@5 95.980
train 80 ====> Acc@1 68.352 Acc@5 97.476
sparsity 80 ====> 52.05% || num_zero/num_total: 445421/855770
valid 80 ====> Acc@1 58.390 Acc@5 95.230
train 81 ====> Acc@1 68.924 Acc@5 97.598
sparsity 81 ====> 52.05% || num_zero/num_total: 445421/855770
valid 81 ====> Acc@1 68.330 Acc@5 97.110
train 82 ====> Acc@1 69.656 Acc@5 97.630
sparsity 82 ====> 51.99% || num_zero/num_total: 444877/855770
valid 82 ====> Acc@1 63.570 Acc@5 96.750
train 83 ====> Acc@1 70.002 Acc@5 97.720
sparsity 83 ====> 51.99% || num_zero/num_total: 444877/855770
valid 83 ====> Acc@1 64.270 Acc@5 96.430
train 84 ====> Acc@1 70.384 Acc@5 97.784
sparsity 84 ====> 51.99% || num_zero/num_total: 444877/855770
valid 84 ====> Acc@1 60.170 Acc@5 95.900
train 85 ====> Acc@1 70.796 Acc@5 97.768
sparsity 85 ====> 51.99% || num_zero/num_total: 444877/855770
valid 85 ====> Acc@1 59.410 Acc@5 94.930
train 86 ====> Acc@1 71.488 Acc@5 97.886
sparsity 86 ====> 51.99% || num_zero/num_total: 444877/855770
valid 86 ====> Acc@1 68.140 Acc@5 97.160
train 87 ====> Acc@1 71.706 Acc@5 97.998
sparsity 87 ====> 51.99% || num_zero/num_total: 444877/855770
valid 87 ====> Acc@1 67.610 Acc@5 97.470
train 88 ====> Acc@1 72.036 Acc@5 98.020
sparsity 88 ====> 51.99% || num_zero/num_total: 444877/855770
valid 88 ====> Acc@1 64.730 Acc@5 96.940
train 89 ====> Acc@1 72.518 Acc@5 98.160
sparsity 89 ====> 51.99% || num_zero/num_total: 444877/855770
valid 89 ====> Acc@1 64.430 Acc@5 96.600
train 90 ====> Acc@1 72.898 Acc@5 98.150
sparsity 90 ====> 51.99% || num_zero/num_total: 444877/855770
valid 90 ====> Acc@1 69.350 Acc@5 97.650
train 91 ====> Acc@1 72.896 Acc@5 98.190
sparsity 91 ====> 51.95% || num_zero/num_total: 444589/855770
valid 91 ====> Acc@1 67.020 Acc@5 97.070
train 92 ====> Acc@1 73.364 Acc@5 98.120
sparsity 92 ====> 51.99% || num_zero/num_total: 444877/855770
valid 92 ====> Acc@1 67.920 Acc@5 96.490
train 93 ====> Acc@1 73.720 Acc@5 98.320
sparsity 93 ====> 51.99% || num_zero/num_total: 444877/855770
valid 93 ====> Acc@1 65.480 Acc@5 96.140
train 94 ====> Acc@1 74.218 Acc@5 98.330
sparsity 94 ====> 51.99% || num_zero/num_total: 444877/855770
valid 94 ====> Acc@1 71.170 Acc@5 97.940
train 95 ====> Acc@1 74.758 Acc@5 98.384
sparsity 95 ====> 51.99% || num_zero/num_total: 444877/855770
valid 95 ====> Acc@1 66.740 Acc@5 96.630
train 96 ====> Acc@1 74.934 Acc@5 98.370
sparsity 96 ====> 51.99% || num_zero/num_total: 444877/855770
valid 96 ====> Acc@1 65.760 Acc@5 95.410
train 97 ====> Acc@1 75.324 Acc@5 98.444
sparsity 97 ====> 51.99% || num_zero/num_total: 444877/855770
valid 97 ====> Acc@1 69.760 Acc@5 97.810
train 98 ====> Acc@1 75.330 Acc@5 98.438
sparsity 98 ====> 51.99% || num_zero/num_total: 444877/855770
valid 98 ====> Acc@1 69.620 Acc@5 97.410
train 99 ====> Acc@1 75.880 Acc@5 98.522
sparsity 99 ====> 51.99% || num_zero/num_total: 444877/855770
valid 99 ====> Acc@1 64.170 Acc@5 96.560
train 100 ====> Acc@1 76.264 Acc@5 98.458
sparsity 100 ====> 51.99% || num_zero/num_total: 444877/855770
valid 100 ====> Acc@1 66.860 Acc@5 96.230
train 101 ====> Acc@1 76.708 Acc@5 98.512
sparsity 101 ====> 51.99% || num_zero/num_total: 444877/855770
valid 101 ====> Acc@1 68.250 Acc@5 97.880
train 102 ====> Acc@1 77.024 Acc@5 98.554
sparsity 102 ====> 51.94% || num_zero/num_total: 444445/855770
valid 102 ====> Acc@1 63.790 Acc@5 96.430
train 103 ====> Acc@1 76.864 Acc@5 98.586
sparsity 103 ====> 51.94% || num_zero/num_total: 444445/855770
valid 103 ====> Acc@1 73.720 Acc@5 98.190
train 104 ====> Acc@1 77.394 Acc@5 98.688
sparsity 104 ====> 51.94% || num_zero/num_total: 444445/855770
valid 104 ====> Acc@1 68.090 Acc@5 97.460
train 105 ====> Acc@1 77.476 Acc@5 98.714
sparsity 105 ====> 51.94% || num_zero/num_total: 444445/855770
valid 105 ====> Acc@1 69.380 Acc@5 97.310
train 106 ====> Acc@1 77.620 Acc@5 98.700
sparsity 106 ====> 51.94% || num_zero/num_total: 444445/855770
valid 106 ====> Acc@1 70.000 Acc@5 97.410
train 107 ====> Acc@1 77.900 Acc@5 98.844
sparsity 107 ====> 51.94% || num_zero/num_total: 444445/855770
valid 107 ====> Acc@1 65.310 Acc@5 97.140
train 108 ====> Acc@1 78.310 Acc@5 98.804
sparsity 108 ====> 51.94% || num_zero/num_total: 444445/855770
valid 108 ====> Acc@1 70.770 Acc@5 97.690
train 109 ====> Acc@1 78.682 Acc@5 98.836
sparsity 109 ====> 51.94% || num_zero/num_total: 444445/855770
valid 109 ====> Acc@1 72.700 Acc@5 98.150
train 110 ====> Acc@1 78.692 Acc@5 98.878
sparsity 110 ====> 51.94% || num_zero/num_total: 444445/855770
valid 110 ====> Acc@1 70.410 Acc@5 97.780
train 111 ====> Acc@1 78.756 Acc@5 98.816
sparsity 111 ====> 51.94% || num_zero/num_total: 444445/855770
valid 111 ====> Acc@1 73.830 Acc@5 98.740
train 112 ====> Acc@1 78.884 Acc@5 98.822
sparsity 112 ====> 51.94% || num_zero/num_total: 444445/855770
valid 112 ====> Acc@1 64.880 Acc@5 96.530
train 113 ====> Acc@1 79.230 Acc@5 98.878
sparsity 113 ====> 51.94% || num_zero/num_total: 444445/855770
valid 113 ====> Acc@1 69.550 Acc@5 97.500
train 114 ====> Acc@1 79.470 Acc@5 98.934
sparsity 114 ====> 51.94% || num_zero/num_total: 444445/855770
valid 114 ====> Acc@1 73.750 Acc@5 98.300
train 115 ====> Acc@1 79.638 Acc@5 98.960
sparsity 115 ====> 51.94% || num_zero/num_total: 444445/855770
valid 115 ====> Acc@1 72.870 Acc@5 98.330
train 116 ====> Acc@1 79.572 Acc@5 98.896
sparsity 116 ====> 51.94% || num_zero/num_total: 444445/855770
valid 116 ====> Acc@1 72.530 Acc@5 98.070
train 117 ====> Acc@1 80.118 Acc@5 98.952
sparsity 117 ====> 51.94% || num_zero/num_total: 444445/855770
valid 117 ====> Acc@1 71.880 Acc@5 98.400
train 118 ====> Acc@1 80.166 Acc@5 98.936
sparsity 118 ====> 51.94% || num_zero/num_total: 444445/855770
valid 118 ====> Acc@1 76.600 Acc@5 98.490
train 119 ====> Acc@1 80.902 Acc@5 99.056
sparsity 119 ====> 51.94% || num_zero/num_total: 444445/855770
valid 119 ====> Acc@1 73.160 Acc@5 98.460
train 120 ====> Acc@1 80.774 Acc@5 98.996
sparsity 120 ====> 51.94% || num_zero/num_total: 444445/855770
valid 120 ====> Acc@1 74.990 Acc@5 98.270
train 121 ====> Acc@1 81.122 Acc@5 99.078
sparsity 121 ====> 51.94% || num_zero/num_total: 444445/855770
valid 121 ====> Acc@1 73.750 Acc@5 98.620
train 122 ====> Acc@1 81.112 Acc@5 99.080
sparsity 122 ====> 51.94% || num_zero/num_total: 444445/855770
