Files already downloaded and verified
Files already downloaded and verified
prune rate 0.5 regularization odecay 0.8
sparsity 109 ====> 50.35% || num_zero/num_total: 430851/855770
valid 109 ====> Acc@1 70.230 Acc@5 97.740
train 110 ====> Acc@1 76.196 Acc@5 98.502
sparsity 110 ====> 50.35% || num_zero/num_total: 430851/855770
valid 110 ====> Acc@1 68.420 Acc@5 97.800
train 111 ====> Acc@1 76.322 Acc@5 98.544
sparsity 111 ====> 50.35% || num_zero/num_total: 430851/855770
valid 111 ====> Acc@1 69.410 Acc@5 97.310
train 112 ====> Acc@1 76.532 Acc@5 98.580
sparsity 112 ====> 50.35% || num_zero/num_total: 430851/855770
valid 112 ====> Acc@1 68.810 Acc@5 96.740
train 113 ====> Acc@1 76.814 Acc@5 98.626
sparsity 113 ====> 50.35% || num_zero/num_total: 430851/855770
valid 113 ====> Acc@1 66.350 Acc@5 95.640
train 114 ====> Acc@1 76.810 Acc@5 98.712
sparsity 114 ====> 50.35% || num_zero/num_total: 430851/855770
valid 114 ====> Acc@1 72.490 Acc@5 98.250
train 115 ====> Acc@1 77.592 Acc@5 98.670
sparsity 115 ====> 50.35% || num_zero/num_total: 430851/855770
valid 115 ====> Acc@1 69.010 Acc@5 97.200
train 116 ====> Acc@1 77.454 Acc@5 98.694
sparsity 116 ====> 50.35% || num_zero/num_total: 430851/855770
valid 116 ====> Acc@1 70.400 Acc@5 97.430
train 117 ====> Acc@1 78.220 Acc@5 98.742
sparsity 117 ====> 50.35% || num_zero/num_total: 430851/855770
valid 117 ====> Acc@1 72.820 Acc@5 98.200
train 118 ====> Acc@1 78.052 Acc@5 98.740
sparsity 118 ====> 50.35% || num_zero/num_total: 430851/855770
valid 118 ====> Acc@1 72.190 Acc@5 98.250
train 119 ====> Acc@1 78.166 Acc@5 98.740
sparsity 119 ====> 50.35% || num_zero/num_total: 430851/855770
valid 119 ====> Acc@1 73.580 Acc@5 97.910
train 120 ====> Acc@1 78.606 Acc@5 98.796
sparsity 120 ====> 50.35% || num_zero/num_total: 430851/855770
valid 120 ====> Acc@1 70.000 Acc@5 96.490
train 121 ====> Acc@1 79.018 Acc@5 98.856
sparsity 121 ====> 50.35% || num_zero/num_total: 430851/855770
valid 121 ====> Acc@1 66.360 Acc@5 97.700
train 122 ====> Acc@1 79.078 Acc@5 98.884
sparsity 122 ====> 50.35% || num_zero/num_total: 430851/855770
valid 122 ====> Acc@1 68.480 Acc@5 97.350
train 123 ====> Acc@1 79.094 Acc@5 98.872
sparsity 123 ====> 50.35% || num_zero/num_total: 430851/855770
valid 123 ====> Acc@1 73.320 Acc@5 98.330
train 124 ====> Acc@1 79.428 Acc@5 98.914
sparsity 124 ====> 50.35% || num_zero/num_total: 430851/855770
valid 124 ====> Acc@1 67.050 Acc@5 96.970
train 125 ====> Acc@1 79.636 Acc@5 98.892
sparsity 125 ====> 50.35% || num_zero/num_total: 430851/855770
valid 125 ====> Acc@1 72.970 Acc@5 98.080
train 126 ====> Acc@1 79.792 Acc@5 98.908
sparsity 126 ====> 50.35% || num_zero/num_total: 430851/855770
valid 126 ====> Acc@1 74.560 Acc@5 97.780
train 127 ====> Acc@1 79.746 Acc@5 98.956
sparsity 127 ====> 50.35% || num_zero/num_total: 430851/855770
valid 127 ====> Acc@1 73.940 Acc@5 98.110
train 128 ====> Acc@1 79.968 Acc@5 99.016
sparsity 128 ====> 50.35% || num_zero/num_total: 430851/855770
valid 128 ====> Acc@1 64.780 Acc@5 96.990
train 129 ====> Acc@1 80.040 Acc@5 98.952
sparsity 129 ====> 50.35% || num_zero/num_total: 430851/855770
valid 129 ====> Acc@1 65.830 Acc@5 97.580
train 130 ====> Acc@1 80.260 Acc@5 99.004
sparsity 130 ====> 50.31% || num_zero/num_total: 430563/855770
valid 130 ====> Acc@1 72.870 Acc@5 97.480
train 131 ====> Acc@1 80.632 Acc@5 98.968
sparsity 131 ====> 50.35% || num_zero/num_total: 430851/855770
valid 131 ====> Acc@1 77.230 Acc@5 98.510
train 132 ====> Acc@1 80.742 Acc@5 99.012
sparsity 132 ====> 50.35% || num_zero/num_total: 430851/855770
valid 132 ====> Acc@1 71.660 Acc@5 97.770
train 133 ====> Acc@1 80.714 Acc@5 99.072
sparsity 133 ====> 50.35% || num_zero/num_total: 430851/855770
valid 133 ====> Acc@1 66.680 Acc@5 97.450
train 134 ====> Acc@1 81.160 Acc@5 99.096
sparsity 134 ====> 50.35% || num_zero/num_total: 430851/855770
valid 134 ====> Acc@1 72.680 Acc@5 98.360
train 135 ====> Acc@1 81.160 Acc@5 99.018
sparsity 135 ====> 50.35% || num_zero/num_total: 430851/855770
valid 135 ====> Acc@1 73.290 Acc@5 98.250
train 136 ====> Acc@1 81.192 Acc@5 99.076
sparsity 136 ====> 50.35% || num_zero/num_total: 430851/855770
valid 136 ====> Acc@1 62.520 Acc@5 96.050
train 137 ====> Acc@1 81.196 Acc@5 99.024
sparsity 137 ====> 50.35% || num_zero/num_total: 430851/855770
valid 137 ====> Acc@1 74.660 Acc@5 98.490
train 138 ====> Acc@1 81.932 Acc@5 99.174
sparsity 138 ====> 50.35% || num_zero/num_total: 430851/855770
valid 138 ====> Acc@1 74.340 Acc@5 97.530
train 139 ====> Acc@1 81.848 Acc@5 99.136
sparsity 139 ====> 50.35% || num_zero/num_total: 430851/855770
valid 139 ====> Acc@1 75.150 Acc@5 98.470
train 140 ====> Acc@1 81.894 Acc@5 99.210
sparsity 140 ====> 50.35% || num_zero/num_total: 430851/855770
valid 140 ====> Acc@1 75.500 Acc@5 98.560
train 141 ====> Acc@1 81.914 Acc@5 99.144
sparsity 141 ====> 50.35% || num_zero/num_total: 430851/855770
valid 141 ====> Acc@1 71.000 Acc@5 97.450
train 142 ====> Acc@1 82.054 Acc@5 99.148
sparsity 142 ====> 50.35% || num_zero/num_total: 430851/855770
valid 142 ====> Acc@1 76.630 Acc@5 98.330
train 143 ====> Acc@1 82.372 Acc@5 99.202
sparsity 143 ====> 50.35% || num_zero/num_total: 430851/855770
valid 143 ====> Acc@1 72.730 Acc@5 97.700
train 144 ====> Acc@1 82.304 Acc@5 99.208
sparsity 144 ====> 50.35% || num_zero/num_total: 430851/855770
valid 144 ====> Acc@1 74.240 Acc@5 98.460
train 145 ====> Acc@1 82.580 Acc@5 99.190
sparsity 145 ====> 50.35% || num_zero/num_total: 430851/855770
valid 145 ====> Acc@1 71.340 Acc@5 98.230
train 146 ====> Acc@1 82.472 Acc@5 99.132
sparsity 146 ====> 50.35% || num_zero/num_total: 430851/855770
valid 146 ====> Acc@1 75.550 Acc@5 98.190
train 147 ====> Acc@1 82.860 Acc@5 99.212
sparsity 147 ====> 50.35% || num_zero/num_total: 430851/855770
valid 147 ====> Acc@1 77.120 Acc@5 98.810
train 148 ====> Acc@1 82.516 Acc@5 99.218
sparsity 148 ====> 50.35% || num_zero/num_total: 430851/855770
valid 148 ====> Acc@1 74.300 Acc@5 98.580
train 149 ====> Acc@1 83.114 Acc@5 99.256
sparsity 149 ====> 50.35% || num_zero/num_total: 430851/855770
valid 149 ====> Acc@1 72.400 Acc@5 98.110
train 150 ====> Acc@1 83.166 Acc@5 99.294
sparsity 150 ====> 50.35% || num_zero/num_total: 430851/855770
valid 150 ====> Acc@1 75.170 Acc@5 98.360
train 151 ====> Acc@1 83.308 Acc@5 99.326
sparsity 151 ====> 50.35% || num_zero/num_total: 430851/855770
valid 151 ====> Acc@1 74.000 Acc@5 97.920
train 152 ====> Acc@1 83.222 Acc@5 99.250
sparsity 152 ====> 50.35% || num_zero/num_total: 430851/855770
valid 152 ====> Acc@1 65.050 Acc@5 95.700
train 153 ====> Acc@1 83.518 Acc@5 99.306
sparsity 153 ====> 50.35% || num_zero/num_total: 430851/855770
